日付,USDJPY終値,USDJPY始値,USDJPY高値,USDJPY安値,USDJPY前日比%
2020年2月10日,109.75,109.86,109.89,109.56,0.02%
2020年2月7日,109.73,110,110.03,109.53,-0.25%
2020年2月6日,110,109.81,110,109.72,0.17%
2020年2月5日,109.81,109.53,109.86,109.31,0.26%
2020年2月4日,109.53,108.69,109.56,108.56,0.77%
2020年2月3日,108.69,108.42,108.81,108.33,0.28%
2020年1月31日,108.39,108.97,109.14,108.31,-0.53%
2020年1月30日,108.97,109.02,109.08,108.58,-0.03%
2020年1月29日,109,109.16,109.28,108.97,-0.13%
2020年1月28日,109.14,108.89,109.2,108.75,0.23%
2020年1月27日,108.89,109.05,109.14,108.72,-0.36%
2020年1月24日,109.28,109.48,109.66,109.17,-0.19%
2020年1月23日,109.49,109.84,109.87,109.26,-0.32%
2020年1月22日,109.84,109.86,110.1,109.82,-0.04%
2020年1月21日,109.88,110.19,110.22,109.77,-0.28%
2020年1月20日,110.19,110.14,110.22,110.03,0.03%
2020年1月17日,110.16,110.14,110.3,110.05,0.00%
2020年1月16日,110.16,109.89,110.19,109.86,0.25%
2020年1月15日,109.89,110,110.03,109.78,-0.08%
2020年1月14日,109.98,109.94,110.22,109.86,0.04%
2020年1月13日,109.94,109.49,109.95,109.45,0.43%
2020年1月10日,109.47,109.52,109.7,109.44,-0.05%
2020年1月9日,109.52,109.12,109.58,109.01,0.35%
2020年1月8日,109.14,108.42,109.25,107.64,0.65%
2020年1月7日,108.44,108.38,108.64,108.27,0.06%
2020年1月6日,108.38,108,108.52,107.77,0.27%
2020年1月3日,108.09,108.56,108.64,107.83,-0.45%
2020年1月2日,108.58,108.75,108.86,108.2,-0.11%
2020年1月1日,108.7,108.61,108.75,108.59,0.07%
2019年12月31日,108.62,108.89,108.89,108.47,-0.24%
2019年12月30日,108.88,109.47,109.52,108.75,-0.49%
2019年12月27日,109.42,109.61,109.64,109.39,-0.20%
2019年12月26日,109.64,109.34,109.69,109.32,0.26%
2019年12月25日,109.36,109.39,109.42,109.27,-0.03%
2019年12月24日,109.39,109.39,109.44,109.31,0.00%
2019年12月23日,109.39,109.41,109.53,109.33,-0.05%
2019年12月20日,109.44,109.36,109.53,109.25,0.05%
2019年12月19日,109.38,109.55,109.67,109.17,-0.14%
2019年12月18日,109.53,109.5,109.62,109.39,0.05%
2019年12月17日,109.48,109.53,109.64,109.44,-0.02%
2019年12月16日,109.5,109.39,109.69,109.25,0.11%
2019年12月13日,109.38,109.31,109.72,108.92,0.06%
2019年12月12日,109.31,108.57,109.46,108.46,0.69%
2019年12月11日,108.56,108.72,108.86,108.47,-0.14%
2019年12月10日,108.71,108.56,108.77,108.51,0.14%
2019年12月9日,108.56,108.68,108.68,108.42,-0.05%
2019年12月6日,108.61,108.77,108.92,108.53,-0.14%
2019年12月5日,108.76,108.86,109,108.65,-0.09%
2019年12月4日,108.86,108.64,108.97,108.42,0.20%
2019年12月3日,108.64,108.97,109.22,108.48,-0.33%
2019年12月2日,109,109.53,109.73,108.92,-0.47%
2019年11月29日,109.52,109.5,109.67,109.39,0.00%
2019年11月28日,109.52,109.55,109.58,109.33,-0.04%
2019年11月27日,109.56,109.03,109.61,109,0.47%
2019年11月26日,109.05,108.92,109.2,108.88,0.12%
2019年11月25日,108.92,108.72,108.98,108.64,0.24%
2019年11月22日,108.66,108.64,108.73,108.47,0.02%
2019年11月21日,108.64,108.61,108.7,108.28,0.03%
2019年11月20日,108.61,108.55,108.75,108.34,0.06%
2019年11月19日,108.55,108.67,108.86,108.45,-0.11%
2019年11月18日,108.67,108.83,109.08,108.52,-0.07%
2019年11月15日,108.75,108.41,108.86,108.38,0.31%
2019年11月14日,108.41,108.83,108.88,108.25,-0.39%
2019年11月13日,108.83,109,109.16,108.66,-0.17%
2019年11月12日,109.02,109.06,109.31,108.92,-0.04%
2019年11月11日,109.06,109.2,109.27,108.89,-0.20%
2019年11月8日,109.28,109.28,109.48,109.08,0.00%
2019年11月7日,109.28,108.97,109.5,108.66,0.28%
2019年11月6日,108.97,109.17,109.19,108.81,-0.17%
2019年11月5日,109.16,108.58,109.25,108.55,0.53%
2019年11月4日,108.58,108.19,108.66,108.17,0.36%
2019年11月1日,108.19,108.06,108.33,107.89,0.15%
2019年10月31日,108.03,108.83,108.91,107.92,-0.74%
2019年10月30日,108.84,108.89,109.3,108.72,-0.05%
2019年10月29日,108.89,108.95,109.08,108.77,-0.06%
2019年10月28日,108.95,108.67,109.05,108.66,0.27%
2019年10月25日,108.66,108.63,108.79,108.51,0.05%
2019年10月24日,108.61,108.67,108.75,108.48,-0.07%
2019年10月23日,108.69,108.5,108.72,108.25,0.19%
2019年10月22日,108.48,108.61,108.73,108.44,-0.12%
2019年10月21日,108.61,108.47,108.67,108.3,0.17%
2019年10月18日,108.43,108.66,108.73,108.38,-0.22%
2019年10月17日,108.67,108.77,108.94,108.47,-0.09%
2019年10月16日,108.77,108.86,108.88,108.57,-0.08%
2019年10月15日,108.86,108.42,108.91,108.16,0.43%
2019年10月14日,108.39,108.36,108.53,108.03,-0.03%
2019年10月11日,108.42,107.98,108.62,107.84,0.42%
2019年10月10日,107.97,107.47,108.03,107.03,0.47%
2019年10月9日,107.47,107.08,107.64,106.94,0.36%
2019年10月8日,107.08,107.3,107.45,106.81,-0.21%
2019年10月7日,107.3,106.97,107.47,106.56,0.34%
2019年10月4日,106.94,106.92,107.14,106.58,0.02%
2019年10月3日,106.92,107.19,107.31,106.48,-0.24%
2019年10月2日,107.18,107.73,107.9,107.04,-0.53%
2019年10月1日,107.75,108.08,108.47,107.62,-0.31%
2019年9月30日,108.08,107.92,108.19,107.75,0.13%
2019年9月27日,107.94,107.83,108.19,107.66,0.10%
2019年9月26日,107.83,107.78,107.97,107.42,0.05%
2019年9月25日,107.78,107.06,107.89,107,0.67%
2019年9月24日,107.06,107.55,107.8,106.97,-0.46%
2019年9月23日,107.56,107.53,107.78,107.31,0.00%
2019年9月20日,107.56,108.02,108.09,107.53,-0.43%
2019年9月19日,108.02,108.45,108.47,107.78,-0.40%
2019年9月18日,108.45,108.12,108.48,108.08,0.29%
2019年9月17日,108.14,108.11,108.38,108.03,0.00%
2019年9月16日,108.14,107.67,108.17,107.48,0.06%
2019年9月13日,108.08,108.09,108.28,107.92,-0.03%
2019年9月12日,108.11,107.83,108.19,107.52,0.26%
2019年9月11日,107.83,107.55,107.86,107.5,0.26%
2019年9月10日,107.55,107.25,107.59,107.19,0.28%
2019年9月9日,107.25,106.83,107.28,106.77,0.31%
2019年9月6日,106.92,106.95,107.11,106.62,0.00%
2019年9月5日,106.92,106.36,107.22,106.31,0.50%
2019年9月4日,106.39,105.94,106.44,105.83,0.42%
2019年9月3日,105.94,106.23,106.4,105.74,-0.26%
2019年9月2日,106.22,106.25,106.41,105.92,-0.08%
2019年8月30日,106.31,106.5,106.56,106.11,-0.20%
2019年8月29日,106.52,106.12,106.69,105.83,0.38%
2019年8月28日,106.12,105.75,106.23,105.66,0.37%
2019年8月27日,105.73,106.16,106.17,105.59,-0.39%
2019年8月26日,106.14,105.14,106.41,104.45,0.69%
2019年8月23日,105.41,106.44,106.75,105.27,-0.97%
2019年8月22日,106.44,106.61,106.66,106.25,-0.17%
2019年8月21日,106.62,106.22,106.66,106.22,0.37%
2019年8月20日,106.23,106.63,106.69,106.17,-0.38%
2019年8月19日,106.64,106.34,106.7,106.25,0.24%
2019年8月16日,106.38,106.12,106.5,106.03,0.25%
2019年8月15日,106.12,105.92,106.78,105.7,0.20%
2019年8月14日,105.91,106.75,106.78,105.66,-0.79%
2019年8月13日,106.75,105.31,106.98,105.06,1.37%
2019年8月12日,105.31,105.58,105.7,105.05,-0.34%
2019年8月9日,105.67,106.08,106.12,105.27,-0.39%
2019年8月8日,106.08,106.28,106.31,105.89,-0.19%
2019年8月7日,106.28,106.48,106.48,105.5,-0.19%
2019年8月6日,106.48,105.94,107.08,105.53,0.50%
2019年8月5日,105.95,106.59,106.69,105.78,-0.60%
2019年8月2日,106.59,107.34,107.58,106.5,-0.70%
2019年8月1日,107.34,108.8,109.33,107.27,-1.30%
2019年7月31日,108.75,108.61,109,108.5,0.13%
2019年7月30日,108.61,108.78,108.95,108.45,-0.16%
2019年7月29日,108.78,108.69,108.91,108.42,0.10%
2019年7月26日,108.67,108.64,108.83,108.56,0.03%
2019年7月25日,108.64,108.19,108.77,108.03,0.42%
2019年7月24日,108.19,108.22,108.28,107.94,-0.03%
2019年7月23日,108.22,107.84,108.3,107.83,0.32%
2019年7月22日,107.88,107.8,108.08,107.7,0.15%
2019年7月19日,107.72,107.3,107.97,107.22,0.39%
2019年7月18日,107.3,107.94,108.02,107.2,-0.59%
2019年7月17日,107.94,108.25,108.33,107.94,-0.28%
2019年7月16日,108.24,107.92,108.39,107.83,0.30%
2019年7月15日,107.92,107.88,108.11,107.8,0.01%
2019年7月12日,107.91,108.48,108.61,107.8,-0.54%
2019年7月11日,108.5,108.47,108.53,107.86,0.03%
2019年7月10日,108.47,108.84,108.98,108.33,-0.36%
2019年7月9日,108.86,108.72,108.97,108.67,0.13%
2019年7月8日,108.72,108.44,108.81,108.28,0.23%
2019年7月5日,108.47,107.81,108.64,107.78,0.61%
2019年7月4日,107.81,107.8,107.86,107.71,-0.02%
2019年7月3日,107.83,107.89,107.93,107.53,-0.06%
2019年7月2日,107.89,108.44,108.48,107.77,-0.51%
2019年7月1日,108.44,108.11,108.55,108.11,0.51%
2019年6月28日,107.89,107.8,107.94,107.56,0.08%
2019年6月27日,107.8,107.8,108.17,107.64,0.02%
2019年6月26日,107.78,107.19,107.86,107.09,0.55%
2019年6月25日,107.19,107.31,107.42,106.78,-0.10%
2019年6月24日,107.3,107.41,107.55,107.25,-0.01%
2019年6月21日,107.31,107.31,107.75,107.06,0.00%
2019年6月20日,107.31,108.09,108.14,107.22,-0.74%
2019年6月19日,108.11,108.45,108.62,107.91,-0.31%
2019年6月18日,108.45,108.55,108.69,108.06,-0.10%
2019年6月17日,108.56,108.44,108.72,108.41,0.00%
2019年6月14日,108.56,108.38,108.59,108.16,0.16%
2019年6月13日,108.39,108.52,108.55,108.17,-0.10%
2019年6月12日,108.5,108.52,108.58,108.22,-0.02%
2019年6月11日,108.52,108.45,108.81,108.36,0.07%
2019年6月10日,108.44,108.56,108.72,108.33,0.23%
2019年6月7日,108.19,108.42,108.62,107.89,-0.21%
2019年6月6日,108.42,108.47,108.58,108.03,-0.05%
2019年6月5日,108.47,108.14,108.5,107.81,0.31%
2019年6月4日,108.14,108.08,108.36,107.83,0.06%
2019年6月3日,108.08,108.38,108.45,107.89,-0.18%
2019年5月31日,108.28,109.62,109.64,108.28,-1.21%
2019年5月30日,109.61,109.61,109.94,109.47,0.02%
2019年5月29日,109.59,109.38,109.7,109.14,0.19%
2019年5月28日,109.38,109.5,109.64,109.22,-0.13%
2019年5月27日,109.52,109.31,109.59,109.28,0.19%
2019年5月24日,109.31,109.61,109.75,109.28,-0.27%
2019年5月23日,109.61,110.36,110.38,109.47,-0.68%
2019年5月22日,110.36,110.48,110.64,110.25,-0.13%
2019年5月21日,110.5,110.06,110.69,110.03,0.40%
2019年5月20日,110.06,110.14,110.33,109.81,-0.02%
2019年5月17日,110.08,109.86,110.19,109.5,0.20%
2019年5月16日,109.86,109.61,109.97,109.33,0.25%
2019年5月15日,109.59,109.61,109.72,109.16,-0.02%
2019年5月14日,109.61,109.3,109.78,109.14,0.27%
2019年5月13日,109.31,109.75,109.84,109.02,-0.57%
2019年5月10日,109.94,109.75,110.05,109.47,0.16%
2019年5月9日,109.76,110.1,110.13,109.47,-0.32%
2019年5月8日,110.11,110.25,110.31,109.89,-0.13%
2019年5月7日,110.25,110.78,110.86,110.17,-0.48%
2019年5月6日,110.78,110.62,110.99,110.28,-0.30%
2019年5月3日,111.11,111.52,111.69,111.06,-0.37%
2019年5月2日,111.52,111.39,111.67,111.36,0.12%
2019年5月1日,111.39,111.44,111.62,111.05,-0.03%
2019年4月30日,111.42,111.66,111.7,111.23,-0.20%
2019年4月29日,111.64,111.61,111.91,111.53,0.04%
2019年4月26日,111.59,111.64,112.03,111.42,-0.04%
2019年4月25日,111.64,112.19,112.25,111.39,-0.49%
2019年4月24日,112.19,111.86,112.41,111.69,0.30%
2019年4月23日,111.86,111.94,112.03,111.64,-0.07%
2019年4月22日,111.94,111.93,111.99,111.85,0.02%
2019年4月19日,111.92,111.97,112.01,111.88,-0.04%
2019年4月18日,111.97,112.06,112.08,111.77,-0.08%
2019年4月17日,112.06,112.03,112.17,111.92,0.05%
2019年4月16日,112,112.05,112.06,111.84,-0.03%
2019年4月15日,112.03,112,112.09,111.88,0.00%
2019年4月12日,112.03,111.66,112.09,111.58,0.32%
2019年4月11日,111.67,111.03,111.7,110.91,0.59%
2019年4月10日,111.02,111.14,111.28,110.84,-0.11%
2019年4月9日,111.14,111.49,111.59,110.98,-0.30%
2019年4月8日,111.48,111.72,111.8,111.28,-0.22%
2019年4月5日,111.73,111.64,111.81,111.58,0.05%
2019年4月4日,111.67,111.48,111.69,111.33,0.17%
2019年4月3日,111.48,111.33,111.58,111.2,0.13%
2019年4月2日,111.33,111.34,111.47,111.25,-0.03%
2019年4月1日,111.36,110.81,111.45,110.81,0.45%
2019年3月29日,110.86,110.62,110.95,110.53,0.20%
2019年3月28日,110.64,110.52,110.83,110.03,0.11%
2019年3月27日,110.52,110.64,110.7,110.22,-0.11%
2019年3月26日,110.64,109.97,110.69,109.94,0.61%
2019年3月25日,109.97,109.86,110.25,109.72,0.05%
2019年3月22日,109.92,110.81,110.91,109.75,-0.80%
2019年3月21日,110.81,110.72,110.97,110.3,0.11%
2019年3月20日,110.69,111.41,111.69,110.53,-0.63%
2019年3月19日,111.39,111.44,111.48,111.16,-0.03%
2019年3月18日,111.42,111.45,111.62,111.28,-0.04%
2019年3月15日,111.47,111.7,111.91,111.39,-0.22%
2019年3月14日,111.72,111.16,111.84,111.14,0.49%
2019年3月13日,111.17,111.36,111.47,111,-0.17%
2019年3月12日,111.36,111.2,111.47,111.11,0.14%
2019年3月11日,111.2,111.14,111.31,110.88,0.03%
2019年3月8日,111.17,111.58,111.66,110.78,-0.38%
2019年3月7日,111.59,111.77,111.86,111.48,-0.16%
2019年3月6日,111.77,111.89,111.94,111.61,-0.11%
2019年3月5日,111.89,111.72,112.12,111.7,0.13%
2019年3月4日,111.75,111.77,112.02,111.64,-0.15%
2019年3月1日,111.92,111.39,112.08,111.33,0.48%
2019年2月28日,111.39,111,111.5,110.66,0.35%
2019年2月27日,111,110.58,111.08,110.36,0.38%
2019年2月26日,110.58,111.06,111.09,110.42,-0.43%
2019年2月25日,111.06,110.67,111.23,110.56,0.33%
2019年2月22日,110.69,110.69,110.92,110.56,-0.01%
2019年2月21日,110.7,110.86,110.89,110.58,-0.14%
2019年2月20日,110.86,110.63,110.95,110.52,0.22%
2019年2月19日,110.62,110.61,110.83,110.45,0.00%
2019年2月18日,110.62,110.45,110.67,110.39,0.11%
2019年2月15日,110.5,110.48,110.66,110.25,0.02%
2019年2月14日,110.48,111.01,111.13,110.45,-0.47%
2019年2月13日,111,110.5,111.06,110.42,0.47%
2019年2月12日,110.48,110.36,110.64,110.33,0.09%
2019年2月11日,110.38,109.83,110.47,109.69,0.59%
2019年2月8日,109.73,109.81,109.91,109.64,-0.07%
2019年2月7日,109.81,109.97,110.09,109.61,-0.15%
2019年2月6日,109.97,109.97,110.06,109.55,0.00%
2019年2月5日,109.97,109.89,110.03,109.78,0.07%
2019年2月4日,109.89,109.5,110.16,109.43,0.36%
2019年2月1日,109.5,108.89,109.58,108.72,0.57%
2019年1月31日,108.88,109.04,109.08,108.49,-0.14%
2019年1月30日,109.03,109.39,109.75,108.81,-0.33%
2019年1月29日,109.39,109.36,109.55,109.14,0.03%
2019年1月28日,109.36,109.53,109.61,109.16,-0.17%
2019年1月25日,109.55,109.64,109.97,109.45,-0.08%
2019年1月24日,109.64,109.58,109.81,109.42,0.04%
2019年1月23日,109.6,109.37,110,109.32,0.20%
2019年1月22日,109.38,109.67,109.7,109.14,-0.26%
2019年1月21日,109.67,109.75,109.77,109.47,-0.10%
2019年1月18日,109.78,109.27,109.89,109.06,0.49%
2019年1月17日,109.24,109.09,109.4,108.68,0.14%
2019年1月16日,109.09,108.69,109.2,108.38,0.39%
2019年1月15日,108.67,108.16,108.77,108.13,0.46%
2019年1月14日,108.17,108.47,108.56,107.97,-0.35%
2019年1月11日,108.55,108.43,108.6,108.14,0.12%
2019年1月10日,108.42,108.16,108.52,107.77,0.23%
2019年1月9日,108.17,108.75,109,107.97,-0.53%
2019年1月8日,108.75,108.72,109.09,108.44,0.03%
2019年1月7日,108.72,108.55,108.75,108.03,0.18%
2019年1月4日,108.53,107.67,108.59,107.51,0.80%
2019年1月3日,107.67,108.89,108.92,104.97,-1.11%
2019年1月2日,108.88,109.67,109.73,108.71,-0.77%
2019年1月1日,109.72,109.57,109.79,109.57,0.13%
2018年12月31日,109.58,110.44,110.48,109.55,-0.63%
2018年12月28日,110.28,110.97,111.06,110.14,-0.65%
2018年12月27日,111,111.38,111.39,110.45,-0.32%
2018年12月26日,111.36,110.31,111.42,110.14,0.98%
2018年12月25日,110.28,110.44,110.47,110,-0.15%
2018年12月24日,110.45,110.95,111.21,110.27,-0.69%
2018年12月21日,111.22,111.3,111.47,110.94,-0.05%
2018年12月20日,111.28,112.47,112.61,110.81,-1.07%
2018年12月19日,112.48,112.52,112.66,112.09,-0.04%
2018年12月18日,112.53,112.83,112.88,112.25,-0.27%
2018年12月17日,112.83,113.32,113.53,112.68,-0.49%
2018年12月14日,113.39,113.64,113.69,113.22,-0.22%
2018年12月13日,113.64,113.28,113.72,113.2,0.32%
2018年12月12日,113.28,113.39,113.53,113.14,-0.10%
2018年12月11日,113.39,113.33,113.47,113,0.04%
2018年12月10日,113.34,112.7,113.38,112.25,0.54%
2018年12月7日,112.73,112.67,112.94,112.55,0.05%
2018年12月6日,112.67,113.19,113.22,112.22,-0.46%
2018年12月5日,113.19,112.77,113.25,112.64,0.36%
2018年12月4日,112.78,113.66,113.67,112.58,-0.78%
2018年12月3日,113.67,113.47,113.86,113.38,0.18%
2018年11月30日,113.47,113.5,113.72,113.33,-0.01%
2018年11月29日,113.48,113.69,113.69,113.19,-0.18%
2018年11月28日,113.69,113.78,114.03,113.44,-0.08%
2018年11月27日,113.78,113.58,113.85,113.41,0.17%
2018年11月26日,113.59,112.94,113.64,112.86,0.57%
2018年11月23日,112.95,112.94,113.02,112.64,0.01%
2018年11月22日,112.94,113.05,113.14,112.86,-0.11%
2018年11月21日,113.06,112.77,113.14,112.61,0.26%
2018年11月20日,112.77,112.56,112.84,112.31,0.19%
2018年11月19日,112.56,112.83,112.89,112.42,-0.24%
2018年11月16日,112.83,113.64,113.66,112.64,-0.71%
2018年11月15日,113.64,113.62,113.72,113.11,0.02%
2018年11月14日,113.62,113.81,114.02,113.3,-0.17%
2018年11月13日,113.81,113.83,114.15,113.57,-0.02%
2018年11月12日,113.83,113.83,114.2,113.66,0.00%
2018年11月9日,113.83,114.06,114.09,113.64,-0.20%
2018年11月8日,114.06,113.52,114.08,113.47,0.47%
2018年11月7日,113.53,113.44,113.83,112.94,0.08%
2018年11月6日,113.44,113.2,113.5,113.11,0.22%
2018年11月5日,113.19,113.19,113.34,113.06,-0.01%
2018年11月2日,113.2,112.72,113.33,112.58,0.43%
2018年11月1日,112.72,112.94,113,112.61,-0.19%
2018年10月31日,112.94,113.13,113.39,112.8,-0.13%
2018年10月30日,113.09,112.38,113.11,112.28,0.63%
2018年10月29日,112.38,111.92,112.56,111.78,0.42%
2018年10月26日,111.91,112.39,112.45,111.38,-0.45%
2018年10月25日,112.42,112.25,112.69,111.83,0.14%
2018年10月24日,112.26,112.43,112.75,112.09,-0.16%
2018年10月23日,112.44,112.83,112.86,111.94,-0.35%
2018年10月22日,112.83,112.5,112.91,112.36,0.25%
2018年10月19日,112.55,112.21,112.65,112.12,0.32%
2018年10月18日,112.19,112.64,112.73,111.97,-0.41%
2018年10月17日,112.65,112.26,112.68,111.99,0.36%
2018年10月16日,112.25,111.77,112.33,111.72,0.42%
2018年10月15日,111.78,112.11,112.27,111.62,-0.37%
2018年10月12日,112.2,112.17,112.5,111.89,0.03%
2018年10月11日,112.17,112.27,112.53,111.83,-0.10%
2018年10月10日,112.28,112.95,113.28,112.23,-0.59%
2018年10月9日,112.95,113.22,113.41,112.88,-0.25%
2018年10月8日,113.23,113.69,113.94,112.81,-0.43%
2018年10月5日,113.72,113.9,114.11,113.55,-0.18%
2018年10月4日,113.92,114.55,114.56,113.64,-0.53%
2018年10月3日,114.53,113.64,114.55,113.52,0.76%
2018年10月2日,113.67,113.92,114.02,113.51,-0.22%
2018年10月1日,113.92,113.69,114.08,113.67,0.20%
2018年9月28日,113.69,113.38,113.72,113.31,0.27%
2018年9月27日,113.38,112.75,113.47,112.55,0.58%
2018年9月26日,112.73,112.97,113.14,112.62,-0.21%
2018年9月25日,112.97,112.8,112.97,112.72,0.14%
2018年9月24日,112.81,112.58,112.84,112.28,0.20%
2018年9月21日,112.58,112.48,112.89,112.42,0.07%
2018年9月20日,112.5,112.28,112.59,112.03,0.20%
2018年9月19日,112.28,112.36,112.45,112.17,-0.07%
2018年9月18日,112.36,111.86,112.39,111.67,0.46%
2018年9月17日,111.84,111.95,112.14,111.75,-0.20%
2018年9月14日,112.06,111.92,112.17,111.75,0.13%
2018年9月13日,111.92,111.25,112,111.14,0.58%
2018年9月12日,111.27,111.64,111.66,111.12,-0.33%
2018年9月11日,111.64,111.12,111.66,111.06,0.47%
2018年9月10日,111.12,110.97,111.25,110.86,0.04%
2018年9月7日,111.08,110.77,111.27,110.39,0.30%
2018年9月6日,110.75,111.53,111.55,110.53,-0.70%
2018年9月5日,111.53,111.45,111.76,111.37,0.07%
2018年9月4日,111.45,111.06,111.55,110.91,0.33%
2018年9月3日,111.08,111.08,111.19,110.85,0.04%
2018年8月31日,111.04,110.99,111.15,110.68,0.05%
2018年8月30日,110.98,111.69,111.78,110.95,-0.62%
2018年8月29日,111.67,111.2,111.84,111.11,0.43%
2018年8月28日,111.19,111.08,111.36,110.95,0.10%
2018年8月27日,111.08,111.25,111.36,110.92,-0.13%
2018年8月24日,111.23,111.28,111.5,111.11,-0.06%
2018年8月23日,111.3,110.55,111.33,110.52,0.67%
2018年8月22日,110.56,110.3,110.62,110.03,0.23%
2018年8月21日,110.31,110.06,110.56,109.78,0.22%
2018年8月20日,110.07,110.52,110.69,110.02,-0.39%
2018年8月17日,110.5,110.89,111.06,110.31,-0.35%
2018年8月16日,110.89,110.75,111.12,110.47,0.13%
2018年8月15日,110.75,111.14,111.44,110.42,-0.37%
2018年8月14日,111.16,110.69,111.33,110.59,0.39%
2018年8月13日,110.73,110.94,110.95,110.12,-0.19%
2018年8月10日,110.94,111.09,111.18,110.5,-0.13%
2018年8月9日,111.08,110.98,111.19,110.69,0.09%
2018年8月8日,110.98,111.39,111.44,110.83,-0.37%
2018年8月7日,111.39,111.41,111.48,111,-0.02%
2018年8月6日,111.41,111.19,111.53,111.14,0.13%
2018年8月3日,111.27,111.66,111.83,111.08,-0.35%
2018年8月2日,111.66,111.7,111.75,111.31,-0.05%
2018年8月1日,111.72,111.88,112.16,111.39,-0.14%
2018年7月31日,111.88,111.05,111.97,110.78,0.73%
2018年7月30日,111.07,111.04,111.17,110.89,0.02%
2018年7月27日,111.05,111.22,111.25,110.8,-0.15%
2018年7月26日,111.22,110.97,111.25,110.58,0.23%
2018年7月25日,110.97,111.2,111.39,110.66,-0.21%
2018年7月24日,111.2,111.35,111.52,110.96,-0.13%
2018年7月23日,111.34,111.5,111.56,110.75,-0.06%
2018年7月20日,111.41,112.46,112.63,111.39,-0.94%
2018年7月19日,112.47,112.86,113.17,112.06,-0.35%
2018年7月18日,112.86,112.89,113.16,112.72,-0.01%
2018年7月17日,112.87,112.29,112.94,112.22,0.51%
2018年7月16日,112.3,112.36,112.56,112.19,-0.07%
2018年7月13日,112.38,112.56,112.81,112.28,-0.16%
2018年7月12日,112.56,112.02,112.64,111.91,0.48%
2018年7月11日,112.02,110.98,112.19,110.77,0.92%
2018年7月10日,111,110.86,111.36,110.8,0.14%
2018年7月9日,110.85,110.5,110.91,110.31,0.35%
2018年7月6日,110.46,110.62,110.79,110.36,-0.14%
2018年7月5日,110.62,110.47,110.72,110.3,0.14%
2018年7月4日,110.47,110.61,110.64,110.28,-0.11%
2018年7月3日,110.59,110.91,111.14,110.5,-0.27%
2018年7月2日,110.89,110.67,111.06,110.48,0.19%
2018年6月29日,110.68,110.49,110.95,110.39,0.16%
2018年6月28日,110.5,110.25,110.66,109.97,0.22%
2018年6月27日,110.26,110.06,110.49,109.68,0.18%
2018年6月26日,110.06,109.75,110.22,109.36,0.26%
2018年6月25日,109.78,109.92,110.03,109.36,-0.17%
2018年6月22日,109.97,109.98,110.22,109.79,-0.03%
2018年6月21日,110,110.36,110.77,109.83,-0.33%
2018年6月20日,110.36,110.06,110.45,109.85,0.27%
2018年6月19日,110.06,110.56,110.58,109.55,-0.44%
2018年6月18日,110.55,110.67,110.75,110.3,-0.11%
2018年6月15日,110.67,110.62,110.92,110.39,0.04%
2018年6月14日,110.63,110.33,110.7,109.9,0.26%
2018年6月13日,110.34,110.38,110.86,110.26,-0.04%
2018年6月12日,110.38,110.03,110.5,109.98,0.32%
2018年6月11日,110.03,109.47,110.12,109.22,0.44%
2018年6月8日,109.55,109.71,109.87,109.19,-0.14%
2018年6月7日,109.7,110.19,110.22,109.48,-0.43%
2018年6月6日,110.17,109.8,110.28,109.78,0.34%
2018年6月5日,109.8,109.83,110.02,109.47,-0.01%
