日付,USDJPY終値,USDJPY始値,USDJPY高値,USDJPY安値,USDJPY前日比%
2018年6月4日,109.81,109.5,109.86,109.38,0.24%
2018年6月1日,109.55,108.81,109.75,108.72,0.67%
2018年5月31日,108.82,108.9,109.01,108.38,-0.08%
2018年5月30日,108.91,108.75,109.08,108.33,0.13%
2018年5月29日,108.77,109.42,109.47,108.11,-0.59%
2018年5月28日,109.42,109.56,109.83,109.23,0.03%
2018年5月25日,109.39,109.25,109.75,109.11,0.13%
2018年5月24日,109.25,110.08,110.11,108.95,-0.75%
2018年5月23日,110.08,110.9,110.93,109.54,-0.73%
2018年5月22日,110.89,111.06,111.19,110.8,-0.15%
2018年5月21日,111.06,110.72,111.41,110.72,0.28%
2018年5月18日,110.75,110.78,111.08,110.61,-0.02%
2018年5月17日,110.77,110.39,110.86,110.06,0.34%
2018年5月16日,110.39,110.34,110.41,110.02,0.04%
2018年5月15日,110.35,109.66,110.46,109.65,0.63%
2018年5月14日,109.66,109.39,109.67,109.2,0.25%
2018年5月11日,109.39,109.41,109.58,109.14,0.00%
2018年5月10日,109.39,109.75,110.03,109.31,-0.33%
2018年5月9日,109.75,109.11,109.83,108.97,0.58%
2018年5月8日,109.12,109.08,109.36,108.83,0.03%
2018年5月7日,109.09,109.12,109.41,108.75,-0.03%
2018年5月4日,109.12,109.19,109.28,108.64,-0.06%
2018年5月3日,109.19,109.83,109.89,108.94,-0.59%
2018年5月2日,109.84,109.86,110.03,109.58,-0.02%
2018年5月1日,109.86,109.34,109.89,109.23,0.48%
2018年4月30日,109.33,109,109.45,109,0.26%
2018年4月27日,109.05,109.31,109.55,108.97,-0.24%
2018年4月26日,109.31,109.42,109.47,109.06,-0.10%
2018年4月25日,109.42,108.81,109.47,108.8,0.55%
2018年4月24日,108.82,108.7,109.2,108.54,0.10%
2018年4月23日,108.71,107.63,108.76,107.63,0.97%
2018年4月20日,107.67,107.38,107.86,107.36,0.27%
2018年4月19日,107.38,107.23,107.53,107.17,0.14%
2018年4月18日,107.23,106.98,107.39,106.98,0.21%
2018年4月17日,107,107.12,107.22,106.86,-0.10%
2018年4月16日,107.11,107.38,107.62,107.03,-0.21%
2018年4月13日,107.34,107.33,107.78,107.19,0.01%
2018年4月12日,107.33,106.8,107.44,106.69,0.50%
2018年4月11日,106.8,107.2,107.25,106.64,-0.37%
2018年4月10日,107.2,106.81,107.41,106.61,0.40%
2018年4月9日,106.77,106.92,107.22,106.61,-0.15%
2018年4月6日,106.93,107.39,107.47,106.78,-0.42%
2018年4月5日,107.38,106.77,107.5,106.71,0.56%
2018年4月4日,106.78,106.61,106.85,105.98,0.16%
2018年4月3日,106.61,105.89,106.67,105.69,0.68%
2018年4月2日,105.89,106.25,106.45,105.66,-0.37%
2018年3月30日,106.28,106.42,106.55,106.11,-0.14%
2018年3月29日,106.43,106.85,106.93,106.25,-0.40%
2018年3月28日,106.86,105.33,107.02,105.31,1.44%
2018年3月27日,105.34,105.41,105.92,105.33,-0.07%
2018年3月26日,105.41,104.73,105.49,104.56,0.64%
2018年3月23日,104.74,105.29,105.36,104.64,-0.51%
2018年3月22日,105.28,106.06,106.09,105.25,-0.74%
2018年3月21日,106.06,106.53,106.64,105.88,-0.44%
2018年3月20日,106.53,106.08,106.61,105.92,0.41%
2018年3月19日,106.09,105.95,106.31,105.67,0.07%
2018年3月16日,106.02,106.34,106.39,105.61,-0.30%
2018年3月15日,106.34,106.33,106.42,105.78,0.01%
2018年3月14日,106.33,106.56,106.75,106.05,-0.23%
2018年3月13日,106.58,106.42,107.31,106.25,0.15%
2018年3月12日,106.42,106.81,106.97,106.31,-0.36%
2018年3月9日,106.8,106.25,107.06,106.16,0.56%
2018年3月8日,106.2,106.06,106.31,105.88,0.11%
2018年3月7日,106.08,106.12,106.22,105.44,-0.04%
2018年3月6日,106.12,106.2,106.47,105.84,-0.08%
2018年3月5日,106.2,105.69,106.25,105.36,0.43%
2018年3月2日,105.75,106.23,106.31,105.25,-0.46%
2018年3月1日,106.24,106.67,107.2,106.16,-0.40%
2018年2月28日,106.67,107.33,107.53,106.55,-0.61%
2018年2月27日,107.33,106.94,107.69,106.78,0.36%
2018年2月26日,106.94,106.84,107.3,106.38,0.05%
2018年2月23日,106.89,106.75,107.14,106.48,0.13%
2018年2月22日,106.75,107.78,107.81,106.59,-0.96%
2018年2月21日,107.78,107.33,107.92,107.27,0.42%
2018年2月20日,107.33,106.61,107.39,106.56,0.68%
2018年2月19日,106.6,106.33,106.73,106.09,0.27%
2018年2月16日,106.31,106.14,106.41,105.53,0.18%
2018年2月15日,106.12,107,107.03,106.03,-0.84%
2018年2月14日,107.02,107.83,107.91,106.72,-0.75%
2018年2月13日,107.83,108.64,108.78,107.39,-0.76%
2018年2月12日,108.66,108.81,108.95,108.44,-0.13%
2018年2月9日,108.8,108.75,109.31,108.05,0.05%
2018年2月8日,108.75,109.31,109.78,108.58,-0.53%
2018年2月7日,109.33,109.56,109.72,108.92,-0.21%
2018年2月6日,109.56,109.08,109.66,108.44,0.41%
2018年2月5日,109.11,110.11,110.31,108.98,-0.91%
2018年2月2日,110.11,109.41,110.48,109.28,0.64%
2018年2月1日,109.41,109.19,109.75,109.09,0.20%
2018年1月31日,109.19,108.78,109.45,108.58,0.38%
2018年1月30日,108.78,108.97,109.22,108.42,-0.16%
2018年1月29日,108.95,108.69,109.2,108.5,0.21%
2018年1月26日,108.72,109.42,109.78,108.28,-0.63%
2018年1月25日,109.41,109.22,109.7,108.5,0.17%
2018年1月24日,109.22,110.31,110.34,108.97,-0.99%
2018年1月23日,110.31,110.92,111.19,110.25,-0.55%
2018年1月22日,110.92,110.62,111.23,110.52,0.13%
2018年1月19日,110.78,111.11,111.14,110.5,-0.30%
2018年1月18日,111.11,111.3,111.5,110.7,-0.15%
2018年1月17日,111.28,110.44,111.34,110.19,0.75%
2018年1月16日,110.45,110.55,110.98,110.25,-0.08%
2018年1月15日,110.54,111.07,111.2,110.32,-0.45%
2018年1月12日,111.04,111.26,111.7,110.91,-0.19%
2018年1月11日,111.25,111.44,111.89,111.05,-0.17%
2018年1月10日,111.44,112.66,112.78,111.28,-1.08%
2018年1月9日,112.66,113.11,113.19,112.36,-0.38%
2018年1月8日,113.09,113.06,113.39,112.89,0.01%
2018年1月5日,113.08,112.75,113.32,112.72,0.29%
2018年1月4日,112.75,112.5,112.87,112.46,0.22%
2018年1月3日,112.5,112.3,112.61,112.17,0.18%
2018年1月2日,112.3,112.67,112.8,112.06,-0.32%
2018年1月1日,112.66,112.67,112.69,112.64,-0.03%
2017年12月29日,112.69,112.88,112.98,112.47,-0.18%
2017年12月28日,112.89,113.36,113.36,112.67,-0.41%
2017年12月27日,113.36,113.25,113.39,113.14,0.11%
2017年12月26日,113.23,113.28,113.36,113.12,-0.04%
2017年12月25日,113.28,113.33,113.38,113.22,0.01%
2017年12月22日,113.27,113.32,113.45,113.25,-0.05%
2017年12月21日,113.33,113.41,113.64,113.2,-0.05%
2017年12月20日,113.39,112.89,113.47,112.84,0.44%
2017年12月19日,112.89,112.54,113.08,112.51,0.30%
2017年12月18日,112.55,112.64,112.85,112.32,-0.03%
2017年12月15日,112.58,112.39,112.75,112.03,0.17%
2017年12月14日,112.39,112.53,112.88,112.06,-0.14%
2017年12月13日,112.55,113.56,113.58,112.47,-0.88%
2017年12月12日,113.55,113.58,113.75,113.38,-0.01%
2017年12月11日,113.56,113.48,113.69,113.24,0.07%
2017年12月8日,113.48,113.08,113.58,113.06,0.35%
2017年12月7日,113.08,112.28,113.16,112.2,0.69%
2017年12月6日,112.3,112.59,112.67,112,-0.26%
2017年12月5日,112.59,112.41,112.88,112.38,0.15%
2017年12月4日,112.42,112.41,113.09,112.36,0.28%
2017年12月1日,112.11,112.53,112.88,111.42,-0.37%
2017年11月30日,112.53,111.92,112.64,111.72,0.54%
2017年11月29日,111.93,111.48,112.15,111.37,0.40%
2017年11月28日,111.48,111.09,111.64,110.94,0.35%
2017年11月27日,111.09,111.41,111.69,110.83,-0.41%
2017年11月24日,111.55,111.22,111.64,111.19,0.30%
2017年11月23日,111.22,111.21,111.38,111.06,0.00%
2017年11月22日,111.22,112.45,112.5,111.14,-1.09%
2017年11月21日,112.44,112.62,112.72,112.17,-0.16%
2017年11月20日,112.62,112.08,112.72,111.88,0.48%
2017年11月17日,112.08,113.05,113.16,111.94,-0.87%
2017年11月16日,113.06,112.88,113.34,112.73,0.16%
2017年11月15日,112.88,113.47,113.5,112.47,-0.50%
2017年11月14日,113.45,113.62,113.92,113.31,-0.15%
2017年11月13日,113.62,113.52,113.72,113.25,0.08%
2017年11月10日,113.53,113.47,113.64,113.2,0.05%
2017年11月9日,113.47,113.86,114.08,113.09,-0.36%
2017年11月8日,113.88,114,114.05,113.39,-0.12%
2017年11月7日,114.02,113.7,114.34,113.69,0.28%
2017年11月6日,113.7,114,114.74,113.7,-0.33%
2017年11月3日,114.08,114.08,114.44,113.66,-0.01%
2017年11月2日,114.09,114.17,114.22,113.53,-0.07%
2017年11月1日,114.17,113.64,114.3,113.61,0.47%
2017年10月31日,113.64,113.17,113.73,112.97,0.40%
2017年10月30日,113.19,113.73,113.84,113.03,-0.44%
2017年10月27日,113.69,113.98,114.45,113.64,-0.25%
2017年10月26日,113.98,113.75,114.08,113.34,0.20%
2017年10月25日,113.75,113.92,114.25,113.48,-0.13%
2017年10月24日,113.9,113.43,114.01,113.25,0.41%
2017年10月23日,113.44,113.69,114.11,113.25,-0.07%
2017年10月20日,113.52,112.53,113.58,112.52,0.86%
2017年10月19日,112.55,112.94,113.16,112.31,-0.35%
2017年10月18日,112.94,112.2,113.06,112.14,0.66%
2017年10月17日,112.2,112.19,112.48,112.03,0.01%
2017年10月16日,112.19,111.85,112.29,111.65,0.30%
2017年10月13日,111.86,112.28,112.33,111.69,-0.37%
2017年10月12日,112.28,112.5,112.53,112.12,-0.20%
2017年10月11日,112.5,112.45,112.59,112.08,0.04%
2017年10月10日,112.45,112.67,112.83,112,-0.20%
2017年10月9日,112.67,112.69,112.75,112.32,0.03%
2017年10月6日,112.64,112.81,113.44,112.61,-0.16%
2017年10月5日,112.82,112.75,112.92,112.41,0.06%
2017年10月4日,112.75,112.86,112.94,112.33,-0.10%
2017年10月3日,112.86,112.75,113.2,112.64,0.08%
2017年10月2日,112.77,112.56,113.06,112.44,0.25%
2017年9月29日,112.49,112.35,112.74,112.21,0.13%
2017年9月28日,112.34,112.86,113.2,112.25,-0.43%
2017年9月27日,112.83,112.25,113.27,112.21,0.53%
2017年9月26日,112.23,111.73,112.48,111.5,0.45%
2017年9月25日,111.73,111.98,112.53,111.47,-0.22%
2017年9月22日,111.98,112.47,112.56,111.66,-0.44%
2017年9月21日,112.47,112.21,112.72,112.13,0.22%
2017年9月20日,112.22,111.58,112.53,111.11,0.56%
2017年9月19日,111.59,111.56,111.89,111.19,0.02%
2017年9月18日,111.57,110.88,111.67,110.88,0.66%
2017年9月15日,110.84,110.22,111.33,109.55,0.55%
2017年9月14日,110.23,110.48,111.03,110.08,-0.23%
2017年9月13日,110.48,110.19,110.7,109.92,0.28%
2017年9月12日,110.17,109.42,110.27,109.25,0.69%
2017年9月11日,109.41,108.2,109.52,108.14,1.46%
2017年9月8日,107.84,108.45,108.5,107.33,-0.56%
2017年9月7日,108.45,109.23,109.28,108.06,-0.71%
2017年9月6日,109.23,108.81,109.41,108.45,0.39%
2017年9月5日,108.81,109.73,109.84,108.64,-0.85%
2017年9月4日,109.74,109.4,109.94,109.31,-0.48%
2017年9月1日,110.27,109.97,110.42,109.56,0.27%
2017年8月31日,109.97,110.25,110.67,109.89,-0.24%
2017年8月30日,110.23,109.75,110.44,109.53,0.44%
2017年8月29日,109.75,109.27,109.91,108.27,0.46%
2017年8月28日,109.25,109.26,109.42,109.03,-0.10%
2017年8月25日,109.36,109.56,109.86,109.11,-0.18%
2017年8月24日,109.56,109.06,109.61,108.83,0.49%
2017年8月23日,109.03,109.56,109.83,108.92,-0.49%
2017年8月22日,109.57,108.97,109.65,108.87,0.54%
2017年8月21日,108.98,109.34,109.43,108.62,-0.19%
2017年8月18日,109.19,109.58,109.61,108.61,-0.35%
2017年8月17日,109.57,110.2,110.37,109.43,-0.56%
2017年8月16日,110.19,110.67,110.95,110.02,-0.43%
2017年8月15日,110.67,109.64,110.86,109.59,0.94%
2017年8月14日,109.64,109.06,109.81,109.03,0.41%
2017年8月11日,109.19,109.22,109.44,108.77,-0.03%
2017年8月10日,109.22,110.08,110.19,109.14,-0.78%
2017年8月9日,110.08,110.31,110.39,109.56,-0.21%
2017年8月8日,110.31,110.73,110.83,110.23,-0.40%
2017年8月7日,110.75,110.61,110.92,110.61,0.05%
2017年8月4日,110.69,110.03,111.06,109.83,0.58%
2017年8月3日,110.05,110.72,110.84,109.86,-0.61%
2017年8月2日,110.73,110.36,111,110.28,0.34%
2017年8月1日,110.36,110.25,110.59,109.92,0.10%
2017年7月31日,110.25,110.64,110.78,110.19,-0.38%
2017年7月28日,110.67,111.28,111.34,110.55,-0.52%
2017年7月27日,111.25,111.18,111.73,110.78,0.07%
2017年7月26日,111.17,111.89,112.2,111.06,-0.64%
2017年7月25日,111.89,111.08,111.96,110.81,0.70%
2017年7月24日,111.11,111.06,111.31,110.61,-0.01%
2017年7月21日,111.12,111.92,112.09,111,-0.71%
2017年7月20日,111.91,111.98,112.43,111.48,-0.05%
2017年7月19日,111.97,112.08,112.25,111.56,-0.10%
2017年7月18日,112.08,112.62,112.72,111.67,-0.50%
2017年7月17日,112.64,112.5,112.88,112.31,0.10%
2017年7月14日,112.53,113.29,113.6,112.27,-0.66%
2017年7月13日,113.28,113.16,113.53,112.86,0.11%
2017年7月12日,113.16,113.94,113.98,112.92,-0.68%
2017年7月11日,113.94,114.05,114.51,113.72,-0.09%
2017年7月10日,114.04,113.97,114.3,113.85,0.13%
2017年7月7日,113.89,113.19,114.19,113.08,0.59%
2017年7月6日,113.22,113.27,113.48,112.89,-0.04%
2017年7月5日,113.27,113.28,113.69,112.81,-0.01%
2017年7月4日,113.28,113.38,113.48,112.73,-0.10%
2017年7月3日,113.39,112.14,113.48,111.94,0.90%
2017年6月30日,112.38,112.19,112.62,111.74,0.18%
2017年6月29日,112.18,112.31,112.94,111.81,-0.11%
2017年6月28日,112.3,112.36,112.43,111.83,-0.05%
2017年6月27日,112.36,111.88,112.47,111.45,0.46%
2017年6月26日,111.84,111.11,111.94,111.11,0.49%
2017年6月23日,111.29,111.35,111.45,111.16,-0.04%
2017年6月22日,111.33,111.35,111.45,110.93,-0.04%
2017年6月21日,111.38,111.45,111.73,111.05,-0.05%
2017年6月20日,111.44,111.53,111.81,111.31,-0.08%
2017年6月19日,111.53,110.83,111.61,110.75,0.60%
2017年6月16日,110.86,110.92,111.44,110.64,-0.07%
2017年6月15日,110.94,109.56,111,109.28,1.24%
2017年6月14日,109.58,110.06,110.36,108.83,-0.45%
2017年6月13日,110.07,109.95,110.28,109.82,0.12%
2017年6月12日,109.94,110.36,110.44,109.61,-0.36%
2017年6月9日,110.34,110,110.81,109.75,0.31%
2017年6月8日,110,109.83,110.42,109.39,0.17%
2017年6月7日,109.81,109.44,109.91,109.11,0.37%
2017年6月6日,109.41,110.44,110.52,109.2,-0.96%
2017年6月5日,110.47,110.36,110.73,110.25,0.05%
2017年6月2日,110.42,111.34,111.72,110.31,-0.84%
2017年6月1日,111.36,110.77,111.48,110.67,0.52%
2017年5月31日,110.78,110.86,111.25,110.47,-0.06%
2017年5月30日,110.85,111.27,111.35,110.67,-0.37%
2017年5月29日,111.26,111.32,111.48,111.16,-0.07%
2017年5月26日,111.34,111.86,111.89,110.89,-0.44%
2017年5月25日,111.83,111.48,111.95,111.47,0.30%
2017年5月24日,111.5,111.76,112.12,111.46,-0.25%
2017年5月23日,111.78,111.31,111.86,110.86,0.43%
2017年5月22日,111.3,111.33,111.62,110.89,0.02%
2017年5月19日,111.28,111.48,111.7,111.03,-0.20%
2017年5月18日,111.5,110.83,111.73,110.23,0.61%
2017年5月17日,110.82,113.13,113.14,110.78,-2.03%
2017年5月16日,113.12,113.78,113.8,112.91,-0.58%
2017年5月15日,113.78,113.19,113.86,113.11,0.39%
2017年5月12日,113.34,113.86,113.97,113.19,-0.46%
2017年5月11日,113.86,114.31,114.39,113.47,-0.37%
2017年5月10日,114.28,113.98,114.36,113.62,0.26%
2017年5月9日,113.98,113.25,114.33,113.11,0.64%
2017年5月8日,113.25,112.98,113.31,112.38,0.47%
2017年5月5日,112.72,112.45,112.83,112.08,0.23%
2017年5月4日,112.46,112.74,113.05,112.3,-0.26%
2017年5月3日,112.75,112,112.8,111.95,0.69%
2017年5月2日,111.98,111.86,112.33,111.78,0.13%
2017年5月1日,111.84,111.3,111.93,111.19,0.26%
2017年4月28日,111.55,111.25,111.72,111.06,0.25%
2017年4月27日,111.27,111.06,111.61,111,0.19%
2017年4月26日,111.06,111.11,111.8,110.88,-0.03%
2017年4月25日,111.09,109.77,111.19,109.58,1.20%
2017年4月24日,109.77,110.25,110.64,109.64,0.63%
2017年4月21日,109.08,109.33,109.44,108.86,-0.22%
2017年4月20日,109.32,108.85,109.49,108.7,0.42%
2017年4月19日,108.86,108.42,109.19,108.36,0.41%
2017年4月18日,108.42,108.92,109.23,108.31,-0.45%
2017年4月17日,108.91,108.67,109.06,108.12,0.25%
2017年4月14日,108.64,109.09,109.25,108.55,-0.41%
2017年4月13日,109.09,109.02,109.41,108.72,0.06%
2017年4月12日,109.03,109.63,109.89,108.96,-0.54%
2017年4月11日,109.62,110.94,110.97,109.6,-1.19%
2017年4月10日,110.94,111.09,111.58,110.78,-0.12%
2017年4月7日,111.07,110.81,111.38,110.13,0.23%
2017年4月6日,110.81,110.69,111.14,110.28,0.10%
2017年4月5日,110.7,110.77,111.47,110.53,-0.05%
2017年4月4日,110.75,110.89,110.97,110.27,-0.13%
2017年4月3日,110.89,111.41,111.61,110.84,-0.45%
2017年3月31日,111.39,111.92,112.2,111.22,-0.47%
2017年3月30日,111.92,111.06,111.97,110.94,0.78%
2017年3月29日,111.05,111.14,111.33,110.7,-0.10%
2017年3月28日,111.16,110.69,111.22,110.19,0.45%
2017年3月27日,110.66,111.23,111.27,110.1,-0.61%
2017年3月24日,111.34,110.94,111.5,110.61,0.36%
2017年3月23日,110.94,111.17,111.58,110.61,-0.20%
2017年3月22日,111.16,111.7,111.81,110.72,-0.50%
2017年3月21日,111.72,112.55,112.88,111.55,-0.75%
2017年3月20日,112.56,112.69,112.89,112.44,-0.14%
2017年3月17日,112.72,113.31,113.5,112.55,-0.52%
2017年3月16日,113.31,113.36,113.56,112.91,-0.06%
2017年3月15日,113.38,114.75,114.91,113.18,-1.19%
2017年3月14日,114.75,114.88,115.2,114.5,-0.11%
2017年3月13日,114.88,114.81,114.93,114.47,0.11%
2017年3月10日,114.75,114.94,115.51,114.63,-0.17%
2017年3月9日,114.94,114.38,115.03,114.33,0.52%
2017年3月8日,114.35,113.99,114.77,113.61,0.32%
2017年3月7日,113.98,113.89,114.17,113.72,0.08%
2017年3月6日,113.89,114.02,114.14,113.55,-0.11%
2017年3月3日,114.02,114.42,114.77,113.83,-0.34%
2017年3月2日,114.41,113.75,114.61,113.69,0.60%
2017年3月1日,113.73,112.78,114.06,112.73,0.84%
2017年2月28日,112.78,112.72,112.91,111.7,0.07%
2017年2月27日,112.7,112.11,112.86,111.92,0.45%
2017年2月24日,112.19,112.61,112.96,111.92,-0.36%
2017年2月23日,112.59,113.31,113.47,112.56,-0.63%
2017年2月22日,113.3,113.72,113.75,112.91,-0.34%
2017年2月21日,113.69,113.08,113.78,113.08,0.52%
2017年2月20日,113.1,112.86,113.26,112.78,0.19%
2017年2月17日,112.88,113.25,113.53,112.61,-0.31%
2017年2月16日,113.23,114.17,114.36,113.09,-0.82%
2017年2月15日,114.17,114.23,114.97,113.84,-0.08%
2017年2月14日,114.26,113.73,114.5,113.22,0.45%
2017年2月13日,113.75,113.33,114.17,113.28,0.47%
2017年2月10日,113.22,113.25,113.88,112.86,-0.03%
2017年2月9日,113.25,111.97,113.38,111.73,1.17%
2017年2月8日,111.94,112.36,112.55,111.61,-0.40%
2017年2月7日,112.39,111.75,112.58,111.58,0.57%
2017年2月6日,111.75,112.42,112.81,111.64,-0.84%
2017年2月3日,112.7,112.78,113.45,112.28,-0.10%
2017年2月2日,112.81,113.25,113.36,112.03,-0.39%
2017年2月1日,113.25,112.81,113.97,112.62,0.40%
2017年1月31日,112.8,113.75,113.97,112.06,-0.86%
2017年1月30日,113.78,115.09,115.14,113.44,-1.13%
2017年1月27日,115.08,114.53,115.39,114.39,0.48%
2017年1月26日,114.53,113.28,114.86,113.03,1.10%
2017年1月25日,113.28,113.78,114,113.03,-0.46%
2017年1月24日,113.8,112.7,113.91,112.5,0.98%
2017年1月23日,112.7,114.37,114.45,112.68,-1.68%
2017年1月20日,114.62,114.88,115.41,114.22,-0.22%
2017年1月19日,114.87,114.63,115.62,114.38,0.17%
2017年1月18日,114.67,112.61,114.77,112.56,1.80%
2017年1月17日,112.64,114.19,114.3,112.59,-1.37%
2017年1月16日,114.2,114.55,114.55,113.67,-0.29%
2017年1月13日,114.53,114.72,115.46,114.2,-0.17%
2017年1月12日,114.72,115.42,115.53,113.75,-0.60%
2017年1月11日,115.41,115.78,116.86,114.24,-0.31%
2017年1月10日,115.77,116.02,116.35,115.19,-0.22%
2017年1月9日,116.03,116.91,117.53,115.97,-0.76%
2017年1月6日,116.92,115.36,117.19,115.06,1.35%
2017年1月5日,115.36,117.25,117.44,115.22,-1.63%
2017年1月4日,117.27,117.77,118.19,117.05,-0.41%
2017年1月3日,117.75,117.55,118.61,117.2,0.19%
2017年1月2日,117.53,116.92,117.69,116.72,0.55%
2016年12月30日,116.89,116.56,117.22,116.05,0.29%
2016年12月29日,116.55,117.25,117.27,116.2,-0.60%
2016年12月28日,117.25,117.41,117.83,117.05,-0.14%
2016年12月27日,117.42,117.09,117.64,117.08,0.28%
2016年12月26日,117.09,117.38,117.4,116.99,-0.22%
2016年12月23日,117.35,117.55,117.67,117.18,-0.16%
2016年12月22日,117.54,117.58,117.9,117.26,-0.01%
2016年12月21日,117.55,117.84,118.07,117.08,-0.28%
2016年12月20日,117.88,117.11,118.28,116.99,0.68%
2016年12月19日,117.08,117.89,118.03,116.53,-0.77%
2016年12月16日,117.99,118.18,118.43,117.45,-0.15%
2016年12月15日,118.17,117.05,118.67,116.97,0.96%
2016年12月14日,117.05,115.17,117.39,114.75,1.61%
2016年12月13日,115.19,115.03,115.5,114.73,0.14%
2016年12月12日,115.03,115.22,116.12,114.83,-0.32%
2016年12月9日,115.4,114.04,115.4,114,1.20%
2016年12月8日,114.03,113.73,114.39,113.14,0.23%
2016年12月7日,113.77,114,114.41,113.39,-0.22%
2016年12月6日,114.02,113.88,114.22,113.5,0.16%
2016年12月5日,113.84,113.55,114.8,112.86,0.23%
2016年12月2日,113.58,114.1,114.25,113.33,-0.45%
2016年12月1日,114.09,114.45,114.83,113.81,-0.33%
2016年11月30日,114.47,112.41,114.56,112.05,1.85%
2016年11月29日,112.39,111.94,113.36,111.61,0.40%
2016年11月28日,111.94,113.05,113.12,111.33,-1.01%
2016年11月25日,113.08,113.34,113.91,112.55,-0.23%
2016年11月24日,113.34,112.53,113.58,112.39,0.73%
2016年11月23日,112.52,111.11,112.98,110.83,1.26%
2016年11月22日,111.12,110.81,111.36,110.23,0.26%
2016年11月21日,110.83,110.93,111.4,110.46,-0.11%
2016年11月18日,110.95,110.13,110.98,109.8,0.76%
2016年11月17日,110.11,109.08,110.2,108.55,0.94%
2016年11月16日,109.08,109.19,109.77,108.78,-0.08%
2016年11月15日,109.17,108.42,109.36,107.77,0.69%
2016年11月14日,108.42,106.54,108.56,106.53,1.63%
2016年11月11日,106.68,106.82,106.94,106.01,-0.14%
2016年11月10日,106.83,105.67,106.95,104.97,1.10%
2016年11月9日,105.67,105.14,105.91,101.17,0.48%
2016年11月8日,105.16,104.46,105.22,104.29,0.66%
2016年11月7日,104.47,103.14,104.64,103.09,1.29%
2016年11月4日,103.14,102.98,103.37,102.83,0.16%
2016年11月3日,102.98,103.31,103.45,102.56,-0.32%
2016年11月2日,103.31,104.14,104.19,103,-0.82%
2016年11月1日,104.16,104.84,105.14,103.81,-0.63%
2016年10月31日,104.82,104.69,105.23,104.25,0.11%
2016年10月28日,104.7,105.28,105.55,104.47,-0.56%
2016年10月27日,105.29,104.46,105.35,104.28,0.78%
2016年10月26日,104.47,104.22,104.62,104,0.23%
2016年10月25日,104.23,104.18,104.88,104.1,0.04%
2016年10月24日,104.19,103.86,104.33,103.7,0.35%
2016年10月21日,103.83,103.95,104.23,103.53,-0.12%
2016年10月20日,103.95,103.44,104.11,103.33,0.49%
2016年10月19日,103.44,103.84,103.94,103.16,-0.40%
2016年10月18日,103.86,103.89,104.22,103.67,-0.03%
2016年10月17日,103.89,104.06,104.39,103.77,-0.29%
2016年10月14日,104.19,103.7,104.48,103.59,0.48%
2016年10月13日,103.69,104.22,104.64,103.33,-0.49%
2016年10月12日,104.2,103.52,104.5,103.28,0.66%
2016年10月11日,103.52,103.61,104.08,103.16,-0.09%
2016年10月10日,103.61,103.09,103.81,102.81,0.67%
2016年10月7日,102.92,103.94,104.05,102.86,-0.98%
2016年10月6日,103.94,103.5,104.17,103.33,0.43%
2016年10月5日,103.5,102.89,103.67,102.67,0.59%
2016年10月4日,102.89,101.64,102.97,101.56,1.23%
2016年10月3日,101.64,101.39,101.69,101.22,0.30%
2016年9月30日,101.34,101.03,101.77,100.75,0.31%
2016年9月29日,101.03,100.69,101.86,100.64,0.36%
2016年9月28日,100.67,100.42,100.83,100.25,0.23%
2016年9月27日,100.44,100.33,101,100.08,0.11%
2016年9月26日,100.33,101.05,101.11,100.23,-0.66%
